No,Name,Script,Effect
0,name1,script1,effect1
1,name2,script2,effect2
2,name3,script3,effect3
3,name4,script4,effect4
4,name5,script5,effect5
5,name6,script6,effect6
6,name7,script7,effect7
7,name8,script8,effect8
8,name9,script9,effect9
9,name10,script10,effect10
10,name11,script11,effect11
11,name12,script12,effect12
12,name13,script13,effect13
13,name14,script14,effect14
14,name15,script15,effect15
15,name16,script16,effect16
16,name17,script17,effect17
17,name18,script18,effect18
18,name19,script19,effect19
19,name20,script20,effect20
20,name21,script21,effect21
21,name22,script22,effect22
22,name23,script23,effect23
23,name24,script24,effect24
24,name25,script25,effect25
25,name26,script26,effect26
26,name27,script27,effect27
27,name28,script28,effect28
28,name29,script29,effect29
29,name30,script30,effect30
30,name31,script31,effect31
31,name32,script32,effect32
32,name33,script33,effect33
33,name34,script34,effect34
34,name35,script35,effect35
35,name36,script36,effect36
