Round ,Count,Enemy0,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8,Tile0,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8
1,1,0,,,,,,,,,3,,,,,,,,
2,2,0,0,,,,,,,,3,7,,,,,,,
3,3,0,0,0,,,,,,,3,7,10,,,,,,
4,1,1,,,,,,,,,3,,,,,,,,
5,2,1,1,,,,,,,,3,7,,,,,,,
6,3,1,1,1,,,,,,,3,7,10,,,,,,
7,3,1,1,1,,,,,,,3,7,10,,,,,,
8,3,1,1,1,,,,,,,3,7,10,,,,,,
9,3,1,1,1,,,,,,,3,7,10,,,,,,
10,3,1,1,1,,,,,,,3,7,10,,,,,,
11,3,1,1,1,,,,,,,3,7,10,,,,,,
12,3,1,1,1,,,,,,,3,7,10,,,,,,
13,3,1,1,1,,,,,,,3,7,10,,,,,,
14,3,1,1,1,,,,,,,3,7,10,,,,,,
15,3,1,1,1,,,,,,,3,7,10,,,,,,
16,3,1,1,1,,,,,,,3,7,10,,,,,,
17,3,1,1,1,,,,,,,3,7,10,,,,,,
18,3,1,1,1,,,,,,,3,7,10,,,,,,
19,3,1,1,1,,,,,,,3,7,10,,,,,,
20,3,1,1,1,,,,,,,3,7,10,,,,,,
21,3,1,1,1,,,,,,,3,7,10,,,,,,
22,3,1,1,1,,,,,,,3,7,10,,,,,,
23,3,1,1,1,,,,,,,3,7,10,,,,,,
24,3,1,1,1,,,,,,,3,7,10,,,,,,
25,3,1,1,1,,,,,,,3,7,10,,,,,,
